Dataset,PredLen,Model,MSE,MAE,TotalTime(s)
Exchange Rate,24,Kairosformer_A1,0.087816,0.216697,19.45
Exchange Rate,24,Kairosformer_A2,0.0774,0.205247,28.4
Exchange Rate,24,Kairosformer_A3,0.078007,0.202848,37.89
Exchange Rate,24,Kairosformer_v0,0.089561,0.225464,24.12
Exchange Rate,24,Transformer,0.312009,0.431333,25.11
Exchange Rate,48,Autoformer,0.113983,0.2476,63.95
Exchange Rate,48,Informer,0.576031,0.624899,23.95
Exchange Rate,48,Kairosformer_A1,0.113422,0.247339,20.78
Exchange Rate,48,Kairosformer_A2,0.10574,0.237151,37.92
Exchange Rate,48,Kairosformer_A3,0.105537,0.237237,48.5
Exchange Rate,48,Kairosformer_v0,0.1359,0.280079,25.18
Exchange Rate,48,Transformer,0.462965,0.524072,21.89
Exchange Rate,96,Autoformer,0.15868,0.289179,44.05
Exchange Rate,96,Informer,0.917402,0.782362,25.27
Exchange Rate,96,Kairosformer_A1,0.165242,0.299066,23.67
Exchange Rate,96,Kairosformer_A2,0.152694,0.283779,43.84
Exchange Rate,96,Kairosformer_A3,0.153106,0.285583,39.17
Exchange Rate,96,Kairosformer_v0,0.190125,0.32193,27.25
Exchange Rate,96,Transformer,0.759996,0.678432,34.27
Exchange Rate,192,Autoformer,0.265357,0.37715,55.3
Exchange Rate,192,Informer,1.192564,0.880486,35.55
Exchange Rate,192,Kairosformer_A1,0.314431,0.419449,29.11
Exchange Rate,192,Kairosformer_A2,0.280672,0.387269,68.4
Exchange Rate,192,Kairosformer_A3,0.263781,0.37611,61.56
Exchange Rate,192,Kairosformer_v0,0.340815,0.436902,31.83
Exchange Rate,192,Transformer,1.026744,0.771248,59.51
Exchange Rate,336,Autoformer,0.592398,0.581128,88.11
Exchange Rate,336,Informer,1.703827,1.036989,57.15
Exchange Rate,336,Kairosformer_A1,0.580934,0.593763,38.92
Exchange Rate,336,Kairosformer_A2,0.447146,0.497176,78.54
Exchange Rate,336,Kairosformer_A3,0.424774,0.482775,66.65
Exchange Rate,336,Kairosformer_v0,0.455123,0.500495,38.84
Exchange Rate,336,Transformer,1.434024,0.958288,44.55
Exchange Rate,720,Autoformer,1.125946,0.825253,102.86
Exchange Rate,720,Informer,2.718081,1.365603,44.8
Exchange Rate,720,Kairosformer_A1,2.315111,1.252094,65.87
Exchange Rate,720,Kairosformer_A2,1.128916,0.827637,96.32
Exchange Rate,720,Kairosformer_A3,1.123606,0.825247,98.45
Exchange Rate,720,Kairosformer_v0,1.13616,0.829581,52.97
